TITLE,PLAYER/CHARACTER,SERIAL NUMBER,SET,GRADE,GRADER,VARIANT,AUTOGRAPH,YEAR,LANGUAGE,PRICE,CATEGORY,OTHER META,MP4 URL,IMAGE URL,URL TO PRODUCT
2004 POKEMON EX FIRE RED & LEAF GREEN GROWLITHE-REV.FOIL (PSA MINT 9),GROWLITHE-REV.FOIL,108381865,POKEMON EX FIRE RED & LEAF GREEN,MINT 9,PSA,FIRE RED & LEAF GREEN,No,2004,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/108381865.mp4,https://cdn.dripshop.live/dripnfts/slabs/108381865.jpg,https://www.dripshop.live/products/CcGh4vkFMNRhfKTZfn-vt
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126053,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126053.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126053.jpg,https://www.dripshop.live/products/cxZiun8hBGKp37IbCUOyL
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126054,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126054.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126054.jpg,https://www.dripshop.live/products/ovZ_UYnZAWtH-M89L_FkS
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126055,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126055.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126055.jpg,https://www.dripshop.live/products/iTQxljcWMsaC7RTKny7kb
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126056,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126056.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126056.jpg,https://www.dripshop.live/products/JZdDfUijGq1_zCs0YqYx5
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126057,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126057.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126057.jpg,https://www.dripshop.live/products/aQvaFwtUoO4yMIZSrA9R7
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126058,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126058.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126058.jpg,https://www.dripshop.live/products/liMRE8eEqlf7pq-ktS__g
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126059,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126059.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126059.jpg,https://www.dripshop.live/products/7Vk_oLf227_8NwEXNPVkI
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126060,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126060.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126060.jpg,https://www.dripshop.live/products/-v9OdqXvo3pfV4ne3JTNW
2025 POKEMON SVP EN-SV BLACK STAR PROMO LEAFEON (PSA GEM MT 10),LEAFEON,109126065,POKEMON SVP EN-SV BLACK STAR PROMO,GEM MT 10,PSA,PRE TECH STICKER COLLECTION,No,2025,English,$66.70,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109126065.mp4,https://cdn.dripshop.live/dripnfts/slabs/109126065.jpg,https://www.dripshop.live/products/BNpZJRimjjN2DbvMayxYM
2024 POKEMON SWSH BLACK STAR PROMO RAYQUAZA-HOLO (PSA GEM MT 10),RAYQUAZA-HOLO,109310242,POKEMON SWSH BLACK STAR PROMO,GEM MT 10,PSA,CRZ PREMIUM COLL-SEA & SKY,No,2024,English,$65.55,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109310242.mp4,https://cdn.dripshop.live/dripnfts/slabs/109310242.jpg,https://www.dripshop.live/products/vH5tgSE9QN4PzSSoUFy8e
